client,total_images,total_alt_tags,alt_length,occurrences,pct_all_occurrences
desktop,209139752,171600191,36,1127979,0.00539342228922601
mobile,275489967,225936151,36,1499498,0.005443022177283138
desktop,209139752,171600191,37,1051743,0.0050289004837301325
mobile,275489967,225936151,37,1390143,0.005046074872120479
desktop,209139752,171600191,38,998599,0.004774792885859404
mobile,275489967,225936151,38,1316963,0.004780439064047657
desktop,209139752,171600191,39,962106,0.004600301907214655
mobile,275489967,225936151,39,1268232,0.004603550589557405
desktop,209139752,171600191,40,971776,0.004646538932493331
mobile,275489967,225936151,40,1316619,0.004779190379735317
desktop,209139752,171600191,41,887297,0.004242603290454318
mobile,275489967,225936151,41,1182118,0.004290965703299097
desktop,209139752,171600191,42,849740,0.004063024804581389
mobile,275489967,225936151,42,1126955,0.004090729736085089
desktop,209139752,171600191,43,817256,0.003907702826385679
mobile,275489967,225936151,43,1080394,0.003921718136472099
desktop,209139752,171600191,44,783314,0.0037454094332100003
mobile,275489967,225936151,44,1041888,0.0037819453512076538
desktop,209139752,171600191,45,754574,0.003607989360148041
mobile,275489967,225936151,45,993452,0.003606127696113158
desktop,209139752,171600191,46,726165,0.003472151960857255
mobile,275489967,225936151,46,961572,0.0034904066034462883
desktop,209139752,171600191,47,710455,0.003397034725373491
mobile,275489967,225936151,47,952772,0.0034584635163864242
desktop,209139752,171600191,48,678175,0.003242688171495967
mobile,275489967,225936151,48,901356,0.0032718287704466566
desktop,209139752,171600191,49,659248,0.0031521888770337644
mobile,275489967,225936151,49,865320,0.0031410218289365144
desktop,209139752,171600191,50,647789,0.0030973977630039456
mobile,275489967,225936151,50,855639,0.0031058808032744076
desktop,209139752,171600191,51,603020,0.0028833351585881195
mobile,275489967,225936151,51,792779,0.0028777055245717896
desktop,209139752,171600191,52,579473,0.0027707453722140784
mobile,275489967,225936151,52,759833,0.0027581149624951676
desktop,209139752,171600191,53,558066,0.0026683879781974687
mobile,275489967,225936151,53,731057,0.0026536610678094133
desktop,209139752,171600191,54,535078,0.0025584710457149246
mobile,275489967,225936151,54,697066,0.0025302772641444325
desktop,209139752,171600191,55,515917,0.0024668528821818626
mobile,275489967,225936151,55,677468,0.002459138557303613
desktop,209139752,171600191,56,499153,0.0023866959543874756
mobile,275489967,225936151,56,657111,0.0023852447592038807
desktop,209139752,171600191,57,478709,0.0022889431369317106
mobile,275489967,225936151,57,630420,0.0022883591982135595
desktop,209139752,171600191,58,464316,0.0022201231260903474
mobile,275489967,225936151,58,612456,0.002223151741856356
desktop,209139752,171600191,59,455846,0.0021796238909186426
mobile,275489967,225936151,59,597479,0.0021687867856182218
desktop,209139752,171600191,60,440084,0.002104258017863577
mobile,275489967,225936151,60,577892,0.0020976880076362275
desktop,209139752,171600191,61,389501,0.0018623958203794753
mobile,275489967,225936151,61,510436,0.0018528297257373442
desktop,209139752,171600191,62,378519,0.0018098854779171776
mobile,275489967,225936151,62,497621,0.0018063126052064176
desktop,209139752,171600191,63,362198,0.001731846750970614
mobile,275489967,225936151,63,474392,0.0017219937450571475
desktop,209139752,171600191,64,349940,0.0016732352250279038
mobile,275489967,225936151,64,456424,0.0016567717691149165
desktop,209139752,171600191,65,329725,0.001576577369184219
mobile,275489967,225936151,65,431131,0.0015649608030916058
desktop,209139752,171600191,66,316403,0.0015128783360133277
mobile,275489967,225936151,66,413916,0.0015024721390307473
desktop,209139752,171600191,67,302483,0.0014463199707724621
mobile,275489967,225936151,67,396385,0.0014388364277527392
desktop,209139752,171600191,68,289348,0.0013835150765599072
mobile,275489967,225936151,68,380287,0.0013804023578107294
desktop,209139752,171600191,69,278573,0.001331994502891062
mobile,275489967,225936151,69,363451,0.001319289424431199
desktop,209139752,171600191,70,264997,0.0012670809708141952
mobile,275489967,225936151,70,348103,0.001263577776681791
desktop,209139752,171600191,71,249688,0.0011938811135245107
mobile,275489967,225936151,71,326238,0.0011842100950268
desktop,209139752,171600191,72,239118,0.0011433407456656064
mobile,275489967,225936151,72,311795,0.0011317835033897985
desktop,209139752,171600191,73,228606,0.001093077704328539
mobile,275489967,225936151,73,299125,0.0010857927178161083
desktop,209139752,171600191,74,218219,0.001043412349460948
mobile,275489967,225936151,74,284404,0.0010323570150197157
desktop,209139752,171600191,75,209460,0.0010015312631718144
mobile,275489967,225936151,75,273171,9.91582390367051E-4
desktop,209139752,171600191,76,196929,9.416143899797682E-4
mobile,275489967,225936151,76,257306,9.339940862528761E-4
desktop,209139752,171600191,77,190232,9.095927396911133E-4
mobile,275489967,225936151,77,248914,9.035319968657879E-4
desktop,209139752,171600191,78,197255,9.43173156292162E-4
mobile,275489967,225936151,78,254981,9.255545774558098E-4
desktop,209139752,171600191,79,188872,9.030899109032127E-4
mobile,275489967,225936151,79,237795,8.631711803863986E-4
desktop,209139752,171600191,80,204935,9.798950129767774E-4
mobile,275489967,225936151,80,245205,8.900687116493066E-4
desktop,209139752,171600191,81,151827,7.259595488092575E-4
mobile,275489967,225936151,81,198933,7.22106152054532E-4
desktop,209139752,171600191,82,145951,6.97863503252122E-4
mobile,275489967,225936151,82,191885,6.965226432365866E-4
desktop,209139752,171600191,83,138370,6.616150142513318E-4
mobile,275489967,225936151,83,182081,6.609351403348929E-4
desktop,209139752,171600191,84,133585,6.387355761997844E-4
mobile,275489967,225936151,84,175138,6.357327706239117E-4
desktop,209139752,171600191,85,127689,6.105439008075328E-4
mobile,275489967,225936151,85,168645,6.121638542284917E-4
desktop,209139752,171600191,86,121925,5.82983382327048E-4
mobile,275489967,225936151,86,160158,5.813569246970072E-4
desktop,209139752,171600191,87,114709,5.484801378171281E-4
mobile,275489967,225936151,87,151293,5.491778943804513E-4
desktop,209139752,171600191,88,110118,5.265283091662077E-4
mobile,275489967,225936151,88,145425,5.27877663145533E-4
desktop,209139752,171600191,89,105079,5.024343722086846E-4
mobile,275489967,225936151,89,137430,4.988566425723954E-4
desktop,209139752,171600191,90,101332,4.845181225996672E-4
mobile,275489967,225936151,90,135406,4.915097325486267E-4
desktop,209139752,171600191,91,93688,4.47968399618261E-4
mobile,275489967,225936151,91,121915,4.4253880214810144E-4
desktop,209139752,171600191,92,90159,4.3109451521201E-4
mobile,275489967,225936151,92,117707,4.2726419869947566E-4
desktop,209139752,171600191,93,97347,4.654638779527672E-4
mobile,275489967,225936151,93,125182,4.543976732190759E-4
desktop,209139752,171600191,94,84803,4.0548484536789543E-4
mobile,275489967,225936151,94,111120,4.033540720559163E-4
desktop,209139752,171600191,95,81822,3.9123121844382794E-4
mobile,275489967,225936151,95,108002,3.9203605552720546E-4
desktop,209139752,171600191,96,80925,3.86942220338867E-4
mobile,275489967,225936151,96,104926,3.8087049464128036E-4
desktop,209139752,171600191,97,80426,3.8455625595271815E-4
mobile,275489967,225936151,97,105591,3.832843756520541E-4
desktop,209139752,171600191,98,87799,4.198101946683001E-4
mobile,275489967,225936151,98,115710,4.200152958746407E-4
desktop,209139752,171600191,99,102483,4.900216196106037E-4
mobile,275489967,225936151,99,136916,4.969908758963988E-4
desktop,209139752,171600191,100,125602,6.005649275131588E-4
mobile,275489967,225936151,100,163763,5.94442700702781E-4
desktop,209139752,171600191,101,57309,2.7402251103367475E-4
mobile,275489967,225936151,101,75595,2.744020075330003E-4
desktop,209139752,171600191,102,56184,2.686433328083893E-4
mobile,275489967,225936151,102,73234,2.658318224706891E-4
desktop,209139752,171600191,103,52586,2.5143952547098747E-4
mobile,275489967,225936151,103,69112,2.508693901001484E-4
desktop,209139752,171600191,104,50481,2.413744853250089E-4
mobile,275489967,225936151,104,64846,2.3538425266862804E-4
desktop,209139752,171600191,105,47609,2.276420410023246E-4
mobile,275489967,225936151,105,62233,2.2589933374960258E-4
desktop,209139752,171600191,106,47797,2.2854096145241676E-4
mobile,275489967,225936151,106,61370,2.2276673327998185E-4
desktop,209139752,171600191,107,44399,2.1229345246617678E-4
mobile,275489967,225936151,107,57377,2.0827255752656865E-4
desktop,209139752,171600191,108,42531,2.03361625866325E-4
mobile,275489967,225936151,108,55604,2.0183675146325748E-4
desktop,209139752,171600191,109,41313,1.975377689077493E-4
mobile,275489967,225936151,109,53963,1.9588009170584423E-4
desktop,209139752,171600191,110,41803,1.9988069986809587E-4
mobile,275489967,225936151,110,53637,1.9469674552612654E-4
desktop,209139752,171600191,111,43569,2.0832481430885507E-4
mobile,275489967,225936151,111,56873,2.0644308981314008E-4
desktop,209139752,171600191,112,48429,2.3156286424208823E-4
mobile,275489967,225936151,112,63155,2.2924609809837467E-4
desktop,209139752,171600191,113,55193,2.6390487447838226E-4
mobile,275489967,225936151,113,70419,2.5561366450778947E-4
desktop,209139752,171600191,114,32950,1.575501533539162E-4
mobile,275489967,225936151,114,43218,1.5687685642649918E-4
desktop,209139752,171600191,115,34145,1.632640360021083E-4
mobile,275489967,225936151,115,44039,1.598570012533342E-4
desktop,209139752,171600191,116,31805,1.5207534529351456E-4
mobile,275489967,225936151,116,41389,1.5023777617280705E-4
desktop,209139752,171600191,117,30504,1.4585462451920667E-4
mobile,275489967,225936151,117,39180,1.4221933534152987E-4
desktop,209139752,171600191,118,30157,1.4419544687994083E-4
mobile,275489967,225936151,118,39295,1.4263677341106218E-4
desktop,209139752,171600191,119,29198,1.3960999628611972E-4
mobile,275489967,225936151,119,37909,1.3760573719913364E-4
desktop,209139752,171600191,120,30177,1.4429107671505703E-4
mobile,275489967,225936151,120,38955,1.4140260868374926E-4
desktop,209139752,171600191,121,27541,1.3168706444674372E-4
mobile,275489967,225936151,121,34994,1.2702458961055376E-4
desktop,209139752,171600191,122,27073,1.2944932630502498E-4
mobile,275489967,225936151,122,34004,1.234309923163191E-4
desktop,209139752,171600191,123,27172,1.299226939888501E-4
mobile,275489967,225936151,123,34656,1.2579768467575446E-4
desktop,209139752,171600191,124,26288,1.2569585527671468E-4
mobile,275489967,225936151,124,33239,1.2065412167986502E-4
desktop,209139752,171600191,125,24609,1.1766773061871089E-4
mobile,275489967,225936151,125,32119,1.1658863787224599E-4
desktop,209139752,171600191,126,25602,1.2241575193222952E-4
mobile,275489967,225936151,126,32789,1.1902066836430381E-4
desktop,209139752,171600191,127,22874,1.0937184242238175E-4
mobile,275489967,225936151,127,30315,1.1004030502497392E-4
desktop,209139752,171600191,128,25354,1.2122994197678881E-4
mobile,275489967,225936151,128,33512,1.2164508335797217E-4
desktop,209139752,171600191,129,19981,9.553898677282547E-5
mobile,275489967,225936151,129,25321,9.191260311850122E-5
desktop,209139752,171600191,130,19622,9.382243123248994E-5
mobile,275489967,225936151,130,25541,9.271118029499782E-5
desktop,209139752,171600191,131,18386,8.791250742230965E-5
mobile,275489967,225936151,131,23985,8.706306171941281E-5
desktop,209139752,171600191,132,17587,8.409209550941802E-5
mobile,275489967,225936151,132,22768,8.264547797488392E-5
desktop,209139752,171600191,133,17294,8.26911184249659E-5
mobile,275489967,225936151,133,22790,8.272533569253359E-5
desktop,209139752,171600191,134,17451,8.344181263062797E-5
mobile,275489967,225936151,134,22015,7.991216609351149E-5
desktop,209139752,171600191,135,16528,7.902849574001599E-5
mobile,275489967,225936151,135,21449,7.785764481216117E-5
desktop,209139752,171600191,136,16323,7.804828993007509E-5
mobile,275489967,225936151,136,20740,7.528404836608805E-5
desktop,209139752,171600191,137,16182,7.737409959250598E-5
mobile,275489967,225936151,137,20465,7.42858268954673E-5
desktop,209139752,171600191,138,15530,7.425656696771831E-5
mobile,275489967,225936151,138,20584,7.471778455002683E-5
desktop,209139752,171600191,139,15855,7.581055178835633E-5
mobile,275489967,225936151,139,20235,7.345095075640268E-5
desktop,209139752,171600191,140,16047,7.672859820547172E-5
mobile,275489967,225936151,140,20428,7.415152073396561E-5
desktop,209139752,171600191,141,14262,6.819363542135213E-5
mobile,275489967,225936151,141,18269,6.631457471552857E-5
desktop,209139752,171600191,142,13584,6.495178401091342E-5
mobile,275489967,225936151,142,17636,6.401685038497246E-5
desktop,209139752,171600191,143,13672,6.537255528542465E-5
mobile,275489967,225936151,143,17856,6.481542756146905E-5
desktop,209139752,171600191,144,13824,6.609934203230766E-5
mobile,275489967,225936151,144,17337,6.293151140418844E-5
desktop,209139752,171600191,145,14119,6.75098821002714E-5
mobile,275489967,225936151,145,17917,6.503685123313402E-5
desktop,209139752,171600191,146,12376,5.9175741969895803E-5
mobile,275489967,225936151,146,15962,5.7940404051084736E-5
desktop,209139752,171600191,147,12739,6.091142347725458E-5
mobile,275489967,225936151,147,16363,5.939599245006262E-5
desktop,209139752,171600191,148,12150,5.80951248330829E-5
mobile,275489967,225936151,148,15190,5.513812414083305E-5
desktop,209139752,171600191,149,12978,6.2054200006893E-5
mobile,275489967,225936151,149,16077,5.8357842120617045E-5
desktop,209139752,171600191,150,15179,7.257826336142924E-5
mobile,275489967,225936151,150,18919,6.867400728245033E-5
desktop,209139752,171600191,151,10666,5.099939106746191E-5
mobile,275489967,225936151,151,13717,4.979128695456267E-5
desktop,209139752,171600191,152,10383,4.9646228900567885E-5
mobile,275489967,225936151,152,13449,4.881847475773954E-5
desktop,209139752,171600191,153,10045,4.803008468710434E-5
mobile,275489967,225936151,153,12934,4.6949078185486155E-5
desktop,209139752,171600191,154,10421,4.982792558728864E-5
mobile,275489967,225936151,154,13337,4.841192637697764E-5
desktop,209139752,171600191,155,10027,4.7944017835499774E-5
mobile,275489967,225936151,155,13490,4.8967300504268456E-5
desktop,209139752,171600191,156,9769,4.671039296250098E-5
mobile,275489967,225936151,156,13015,4.724309978228717E-5
desktop,209139752,171600191,157,9317,4.454915868887518E-5
mobile,275489967,225936151,157,12147,4.4092349831382427E-5
desktop,209139752,171600191,158,9153,4.3764994040922454E-5
mobile,275489967,225936151,158,12131,4.403427149127358E-5
desktop,209139752,171600191,159,9057,4.330597083236476E-5
mobile,275489967,225936151,159,12209,4.431740339930419E-5
desktop,209139752,171600191,160,9661,4.619399185287357E-5
mobile,275489967,225936151,160,12667,4.597989588491983E-5
desktop,209139752,171600191,161,9171,4.385106089252702E-5
mobile,275489967,225936151,161,11967,4.343896850515794E-5
desktop,209139752,171600191,162,8518,4.0728746775983554E-5
mobile,275489967,225936151,162,11396,4.13662977425236E-5
desktop,209139752,171600191,163,8390,4.0116715831239966E-5
mobile,275489967,225936151,163,11210,4.069113703875829E-5
desktop,209139752,171600191,164,8014,3.8318874931055674E-5
mobile,275489967,225936151,164,10954,3.9761883597016804E-5
desktop,209139752,171600191,165,7836,3.746776939852162E-5
mobile,275489967,225936151,165,10633,3.859668689858313E-5
desktop,209139752,171600191,166,7345,3.5120056946419256E-5
mobile,275489967,225936151,166,10030,3.6407859455731104E-5
desktop,209139752,171600191,167,7650,3.657841193194109E-5
mobile,275489967,225936151,167,10515,3.816835914028041E-5
desktop,209139752,171600191,168,7576,3.62245815420112E-5
mobile,275489967,225936151,168,11406,4.140259670509162E-5
desktop,209139752,171600191,169,7284,3.4828385949314885E-5
mobile,275489967,225936151,169,10348,3.756216646539436E-5
desktop,209139752,171600191,170,7882,3.768771801928884E-5
mobile,275489967,225936151,170,10541,3.826273644295728E-5
desktop,209139752,171600191,171,7042,3.367126494440904E-5
mobile,275489967,225936151,171,9643,3.500308960434846E-5
desktop,209139752,171600191,172,6699,3.203121327216645E-5
mobile,275489967,225936151,172,9255,3.359468985670901E-5
desktop,209139752,171600191,173,6708,3.207424669796873E-5
mobile,275489967,225936151,173,9177,3.33115579486784E-5
desktop,209139752,171600191,174,6925,3.311183040897935E-5
mobile,275489967,225936151,174,9413,3.4168213465283836E-5
desktop,209139752,171600191,175,6959,3.3274401128676865E-5
mobile,275489967,225936151,175,9499,3.448038454336887E-5
desktop,209139752,171600191,176,6515,3.1151418789097544E-5
mobile,275489967,225936151,176,9274,3.3663657885588264E-5
desktop,209139752,171600191,177,6225,2.9764786179912846E-5
mobile,275489967,225936151,177,8714,3.163091598177875E-5
desktop,209139752,171600191,178,6494,3.1051007462225544E-5
mobile,275489967,225936151,178,8814,3.199390560745902E-5
desktop,209139752,171600191,179,6336,3.0295531764807678E-5
mobile,275489967,225936151,179,8646,3.138408303631616E-5
desktop,209139752,171600191,180,6314,3.0190338946179873E-5
mobile,275489967,225936151,180,8560,3.1071911958231134E-5
desktop,209139752,171600191,181,6236,2.9817382589226748E-5
mobile,275489967,225936151,181,8672,3.147846033899303E-5
desktop,209139752,171600191,182,6236,2.9817382589226748E-5
mobile,275489967,225936151,182,8431,3.0603655341103586E-5
desktop,209139752,171600191,183,5933,2.8368590587216532E-5
mobile,275489967,225936151,183,8139,2.9543725634117194E-5
desktop,209139752,171600191,184,5727,2.738360328551982E-5
mobile,275489967,225936151,184,8063,2.926785351860019E-5
desktop,209139752,171600191,185,5810,2.778046710125199E-5
mobile,275489967,225936151,185,8031,2.91516968383825E-5
desktop,209139752,171600191,186,5837,2.790956737865884E-5
mobile,275489967,225936151,186,8108,2.943119885015631E-5
desktop,209139752,171600191,187,5548,2.6527716261229956E-5
mobile,275489967,225936151,187,7848,2.848742582338761E-5
desktop,209139752,171600191,188,5676,2.7139747205973543E-5
mobile,275489967,225936151,188,7926,2.877055773141822E-5
desktop,209139752,171600191,189,5636,2.6948487535741172E-5
mobile,275489967,225936151,189,7854,2.8509205200928424E-5
desktop,209139752,171600191,190,5783,2.765136682384514E-5
mobile,275489967,225936151,190,8275,3.003739152504236E-5
desktop,209139752,171600191,191,5964,2.851681683164662E-5
mobile,275489967,225936151,191,8557,3.106102226946072E-5
desktop,209139752,171600191,192,5312,2.5399284206858963E-5
mobile,275489967,225936151,192,7467,2.7104435349545777E-5
desktop,209139752,171600191,193,5772,2.7598770414531235E-5
mobile,275489967,225936151,193,7719,2.801916920626006E-5
desktop,209139752,171600191,194,5696,2.723537704108973E-5
mobile,275489967,225936151,194,7625,2.7677958958120607E-5
desktop,209139752,171600191,195,5560,2.6585094162299665E-5
mobile,275489967,225936151,195,7717,2.8011909413746453E-5
desktop,209139752,171600191,196,5486,2.6231263772369778E-5
mobile,275489967,225936151,196,7623,2.7670699165607E-5
desktop,209139752,171600191,197,5412,2.587743338243989E-5
mobile,275489967,225936151,197,7411,2.690116115916483E-5
desktop,209139752,171600191,198,5863,2.803388616430988E-5
mobile,275489967,225936151,198,8056,2.924244424480257E-5
desktop,209139752,171600191,199,5639,2.6962832011008602E-5
mobile,275489967,225936151,199,7688,2.7906642422299175E-5
desktop,209139752,171600191,200,6000,2.8688950534855755E-5
mobile,275489967,225936151,200,8062,2.9264223622343387E-5
desktop,209139752,171600191,201,4391,2.0995530299758605E-5
mobile,275489967,225936151,201,5747,2.0861013787845132E-5
desktop,209139752,171600191,202,4640,2.218612174695512E-5
mobile,275489967,225936151,202,6019,2.1848345569695467E-5
desktop,209139752,171600191,203,4503,2.1531057376409245E-5
mobile,275489967,225936151,203,6070,2.2033470278792404E-5
desktop,209139752,171600191,204,4714,2.2539952136885006E-5
mobile,275489967,225936151,204,6077,2.2058879552590023E-5
desktop,209139752,171600191,205,4108,1.9642368132864574E-5
mobile,275489967,225936151,205,5573,2.022941183916146E-5
desktop,209139752,171600191,206,4260,2.0369154879747585E-5
mobile,275489967,225936151,206,5579,2.0251191216702276E-5
desktop,209139752,171600191,207,4051,1.9369823102783445E-5
mobile,275489967,225936151,207,5570,2.0218522150391052E-5
desktop,209139752,171600191,208,3913,1.870997724048176E-5
mobile,275489967,225936151,208,5249,1.9053325451957385E-5
desktop,209139752,171600191,209,3960,1.89347073530048E-5
mobile,275489967,225936151,209,5391,1.9568770720423368E-5
desktop,209139752,171600191,210,3760,1.797840900184294E-5
mobile,275489967,225936151,210,4998,1.8142221491499905E-5
desktop,209139752,171600191,211,3843,1.837527281757511E-5
mobile,275489967,225936151,211,5087,1.8465282258355347E-5
desktop,209139752,171600191,212,3809,1.8212702097877596E-5
mobile,275489967,225936151,212,5065,1.838542454070569E-5
desktop,209139752,171600191,213,3597,1.7199025845646027E-5
mobile,275489967,225936151,213,4886,1.7735673110738004E-5
desktop,209139752,171600191,214,3563,1.703645512594851E-5
mobile,275489967,225936151,214,4718,1.712585053959515E-5
desktop,209139752,171600191,215,3701,1.769630098825019E-5
mobile,275489967,225936151,215,4982,1.8084143151391062E-5
desktop,209139752,171600191,216,3810,1.8217483589633404E-5
mobile,275489967,225936151,216,5178,1.8795602817724393E-5
desktop,209139752,171600191,217,3605,1.72372777796925E-5
mobile,275489967,225936151,217,4899,1.778286176207644E-5
desktop,209139752,171600191,218,3629,1.735203358183192E-5
mobile,275489967,225936151,218,4715,1.7114960850824743E-5
desktop,209139752,171600191,219,3639,1.7399848499390016E-5
mobile,275489967,225936151,219,4893,1.7761082384535624E-5
desktop,209139752,171600191,220,3565,1.7046018109460128E-5
mobile,275489967,225936151,220,4926,1.7880868961010113E-5
desktop,209139752,171600191,221,3380,1.6161442134635408E-5
mobile,275489967,225936151,221,4485,1.6280084711760122E-5
desktop,209139752,171600191,222,3417,1.6338357329600352E-5
mobile,275489967,225936151,222,4460,1.6189337305340052E-5
desktop,209139752,171600191,223,3331,1.5927149038600754E-5
mobile,275489967,225936151,223,4668,1.6944355726755014E-5
desktop,209139752,171600191,224,3346,1.5998871414937894E-5
mobile,275489967,225936151,224,4422,1.605140124758155E-5
desktop,209139752,171600191,225,3234,1.546334433828725E-5
mobile,275489967,225936151,225,4328,1.5710190999442096E-5
desktop,209139752,171600191,226,3249,1.553506671462439E-5
mobile,275489967,225936151,226,4235,1.5372610647559446E-5
desktop,209139752,171600191,227,3207,1.53342440608804E-5
mobile,275489967,225936151,227,4378,1.589168581228223E-5
desktop,209139752,171600191,228,3166,1.513820289889222E-5
mobile,275489967,225936151,228,4191,1.5212895212260125E-5
desktop,209139752,171600191,229,3165,1.513342140713641E-5
mobile,275489967,225936151,229,4127,1.4980581851824753E-5
desktop,209139752,171600191,230,3104,1.4841750410032044E-5
mobile,275489967,225936151,230,4011,1.4559513886035639E-5
desktop,209139752,171600191,231,3012,1.440185316849759E-5
mobile,275489967,225936151,231,3961,1.4378019073195504E-5
desktop,209139752,171600191,232,3147,1.5047354555531844E-5
mobile,275489967,225936151,232,4188,1.5202005523489717E-5
desktop,209139752,171600191,233,3385,1.6185349593414454E-5
mobile,275489967,225936151,233,4519,1.6403501184491412E-5
desktop,209139752,171600191,234,3086,1.4755683558427477E-5
mobile,275489967,225936151,234,4091,1.4849905586579856E-5
desktop,209139752,171600191,235,3041,1.454051642941606E-5
mobile,275489967,225936151,235,4002,1.4526844819724415E-5
desktop,209139752,171600191,236,3078,1.4717431624381002E-5
mobile,275489967,225936151,236,4017,1.4581293263576456E-5
desktop,209139752,171600191,237,2835,1.3555529127719345E-5
mobile,275489967,225936151,237,3858,1.4004139758744826E-5
desktop,209139752,171600191,238,2897,1.3851981616579521E-5
mobile,275489967,225936151,238,3876,1.4069477891367274E-5
desktop,209139752,171600191,239,3110,1.48704393605669E-5
mobile,275489967,225936151,239,4040,1.4664780877482917E-5
desktop,209139752,171600191,240,3051,1.4588331346974152E-5
mobile,275489967,225936151,240,3962,1.4381648969452306E-5
desktop,209139752,171600191,241,3073,1.4693524165601956E-5
mobile,275489967,225936151,241,4087,1.4835386001552644E-5
desktop,209139752,171600191,242,3039,1.453095344590444E-5
mobile,275489967,225936151,242,4056,1.472285921759176E-5
desktop,209139752,171600191,243,3312,1.5836300695240377E-5
mobile,275489967,225936151,243,4471,1.6229266164164883E-5
desktop,209139752,171600191,244,3653,1.7466789383971345E-5
mobile,275489967,225936151,244,4741,1.7209338153501613E-5
desktop,209139752,171600191,245,4374,2.0914244939909846E-5
mobile,275489967,225936151,245,5763,2.0919092127953975E-5
desktop,209139752,171600191,246,5867,2.805301213133312E-5
mobile,275489967,225936151,246,7357,2.670514676129748E-5
desktop,209139752,171600191,247,7970,3.810848929380006E-5
